"year","state","industry","ann_avg_establishment_count","ann_avg_employment","ann_total_wages","ann_avg_weekly_wage","ann_avg_pay"
2006,"Alabama","Natural resources and mining",1856,21888,880490611,774,40228
2006,"Alabama","Construction",11837,110025,4063980620,710,36937
2006,"Alabama","Manufacturing",5602,302792,12799978007,813,42273
2006,"Alabama","Trade, transportation, and utilities",31640,383473,12570933027,630,32782
2006,"Alabama","Information",1838,30305,1429328216,907,47165
2006,"Alabama","Financial activities",11611,96572,4888218179,973,50617
2006,"Alabama","Professional and business services",17529,213949,8642368709,777,40395
2006,"Alabama","Education and health services",10308,197774,7311057473,711,36967
2006,"Alabama","Leisure and hospitality",8974,169709,2124156684,241,12516
2006,"Alabama","Other services",9810,48070,1242707524,497,25852
2006,"Alabama","Unclassified",1,0,0,0,0
2006,"Alaska","Natural resources and mining",349,13196,1251052214,1823,94806
2006,"Alaska","Construction",2567,17994,1050631015,1123,58387
2006,"Alaska","Manufacturing",557,13208,469370661,683,35536
2006,"Alaska","Trade, transportation, and utilities",4436,63780,2311408282,697,36241
2006,"Alaska","Information",354,6947,347175807,961,49975
2006,"Alaska","Financial activities",1460,13700,601925313,845,43936
2006,"Alaska","Professional and business services",2917,24342,1128386455,891,46356
2006,"Alaska","Education and health services",2030,37054,1372319009,712,37035
2006,"Alaska","Leisure and hospitality",2368,31371,567903069,348,18103
2006,"Alaska","Other services",1683,9487,277602007,563,29260
2006,"Alaska","Unclassified",282,463,14699756,610,31738
2006,"Arizona","Natural resources and mining",1316,37927,1179487178,598,31099
2006,"Arizona","Construction",16534,239650,9803694108,787,40908
2006,"Arizona","Manufacturing",5096,187057,10779406776,1108,57626
2006,"Arizona","Trade, transportation, and utilities",32093,510489,19135177129,721,37484
2006,"Arizona","Information",2375,44885,2293862926,983,51105
2006,"Arizona","Financial activities",16835,181637,9876656769,1046,54376
2006,"Arizona","Professional and business services",29433,394485,15895268747,775,40294
2006,"Arizona","Education and health services",14089,284407,11907651814,805,41868
2006,"Arizona","Leisure and hospitality",11174,266285,4820138954,348,18101
2006,"Arizona","Other services",11098,70024,1933986588,531,27619
2006,"Arizona","Unclassified",7496,8889,345444458,747,38860
2006,"Arkansas","Natural resources and mining",2359,18550,636706628,660,34323
2006,"Arkansas","Construction",7922,56956,1932416061,652,33928
2006,"Arkansas","Manufacturing",3586,198822,6970231559,674,35058
2006,"Arkansas","Trade, transportation, and utilities",20861,244917,7583712518,595,30964
2006,"Arkansas","Information",1203,19911,860130874,831,43198
2006,"Arkansas","Financial activities",8045,51171,2020895233,759,39493
2006,"Arkansas","Professional and business services",10836,114216,4492246455,756,39331
2006,"Arkansas","Education and health services",10651,145778,4757943714,628,32638
2006,"Arkansas","Leisure and hospitality",6070,97450,1134905363,224,11646
2006,"Arkansas","Other services",5475,25845,605839820,451,23441
2006,"Arkansas","Unclassified",2,0,0,0,0
2006,"California","Natural resources and mining",19569,402871,10814097709,516,26843
2006,"California","Construction",78567,929950,44936528288,929,48321
2006,"California","Manufacturing",46428,1495034,94220674602,1212,63022
2006,"California","Trade, transportation, and utilities",187729,2854723,115411036364,777,40428
2006,"California","Information",20060,470144,41137894284,1683,87501
2006,"California","Financial activities",96921,934448,70139739479,1443,75060
2006,"California","Professional and business services",167345,2222644,128633060416,1113,57874
2006,"California","Education and health services",97719,1576182,70555763671,861,44764
2006,"California","Leisure and hospitality",85607,1514160,33369948316,424,22039
2006,"California","Other services",415073,700575,17084952203,469,24387
2006,"California","Unclassified",19079,25078,1233438379,946,49184
2006,"Colorado","Natural resources and mining",2609,35514,2118973911,1147,59667
2006,"Colorado","Construction",21969,167647,7245579507,831,43219
2006,"Colorado","Manufacturing",6028,149147,8181712105,1055,54857
2006,"Colorado","Trade, transportation, and utilities",35920,415032,15719214290,728,37875
2006,"Colorado","Information",3564,75633,5767711835,1467,76260
2006,"Colorado","Financial activities",21783,156739,9057420705,1111,57787
2006,"Colorado","Professional and business services",37872,331871,18739771974,1086,56467
2006,"Colorado","Education and health services",14429,228145,8989773417,758,39404
2006,"Colorado","Leisure and hospitality",14618,264980,4743768458,344,17902
2006,"Colorado","Other services",12638,65664,1977090549,579,30109
2006,"Colorado","Unclassified",254,268,11860501,851,44242
2006,"Connecticut","Natural resources and mining",410,5868,182895335,599,31170
2006,"Connecticut","Construction",11083,67157,3552478586,1017,52899
2006,"Connecticut","Manufacturing",5343,193714,12731905889,1264,65725
2006,"Connecticut","Trade, transportation, and utilities",25037,307295,13287730935,832,43241
2006,"Connecticut","Information",1813,37730,2479846841,1264,65726
2006,"Connecticut","Financial activities",10785,144325,17732641424,2363,122866
2006,"Connecticut","Professional and business services",19938,205869,13749054334,1284,66786
2006,"Connecticut","Education and health services",10767,272738,11895937873,839,43617
2006,"Connecticut","Leisure and hospitality",8921,132475,2519609930,366,19020
2006,"Connecticut","Other services",13194,57761,1634895396,544,28305
2006,"Connecticut","Unclassified",237,244,15770848,1241,64524
2006,"Delaware","Natural resources and mining",158,1406,44739193,612,31822
2006,"Delaware","Construction",3712,29247,1344994003,884,45988
2006,"Delaware","Manufacturing",673,33245,1798855519,1041,54109
2006,"Delaware","Trade, transportation, and utilities",6844,81169,2985276778,707,36779
2006,"Delaware","Information",324,6710,360830853,1034,53777
2006,"Delaware","Financial activities",2573,44031,3427678287,1497,77846
2006,"Delaware","Professional and business services",8699,62212,3580433547,1107,57552
2006,"Delaware","Education and health services",2210,52085,2251000283,831,43218
2006,"Delaware","Leisure and hospitality",2260,40927,710820782,334,17368
2006,"Delaware","Other services",2233,13291,352493234,510,26522
2006,"District of Columbia","Construction",829,12575,657961961,1006,52322
