"year","state","industry","ann_avg_establishment_count","ann_avg_employment","ann_total_wages","ann_avg_weekly_wage","ann_avg_pay"
2008,"Alabama","Natural resources and mining",1788,20749,948628448,879,45719
2008,"Alabama","Construction",12170,108453,4445947737,788,40994
2008,"Alabama","Manufacturing",5600,284127,12880288596,872,45333
2008,"Alabama","Trade, transportation, and utilities",32428,385824,13185276623,657,34174
2008,"Alabama","Information",1649,27013,1315886377,937,48714
2008,"Alabama","Financial activities",12342,96630,5029798675,1001,52052
2008,"Alabama","Professional and business services",19087,220627,9765739100,851,44264
2008,"Alabama","Education and health services",10887,204866,8052019462,756,39304
2008,"Alabama","Leisure and hospitality",9434,174219,2344057534,259,13455
2008,"Alabama","Other services",9664,47679,1344579166,542,28200
2008,"Alaska","Natural resources and mining",355,15941,1696290946,2046,106409
2008,"Alaska","Construction",2485,17211,1142913108,1277,66406
2008,"Alaska","Manufacturing",556,12984,483450667,716,37236
2008,"Alaska","Trade, transportation, and utilities",4368,64673,2539017181,755,39260
2008,"Alaska","Information",382,6988,379464456,1044,54306
2008,"Alaska","Financial activities",1430,13654,655114805,923,47980
2008,"Alaska","Professional and business services",3085,26189,1365220887,1002,52130
2008,"Alaska","Education and health services",2064,37601,1510617919,773,40175
2008,"Alaska","Leisure and hospitality",2405,32164,623507586,373,19385
2008,"Alaska","Other services",1705,9920,309005589,599,31149
2008,"Alaska","Unclassified",552,384,14085486,706,36713
2008,"Arizona","Natural resources and mining",1347,38962,1558728431,769,40006
2008,"Arizona","Construction",18324,186072,8264506610,854,44416
2008,"Arizona","Manufacturing",5246,173225,10502364064,1166,60628
2008,"Arizona","Trade, transportation, and utilities",35776,513518,19761490824,740,38483
2008,"Arizona","Information",2501,41833,2272127852,1045,54314
2008,"Arizona","Financial activities",18575,175251,9430368674,1035,53811
2008,"Arizona","Professional and business services",32728,386890,17634788940,877,45581
2008,"Arizona","Education and health services",15474,316244,14353837766,873,45388
2008,"Arizona","Leisure and hospitality",12095,269780,5228211803,373,19380
2008,"Arizona","Other services",12254,71171,2084530069,563,29289
2008,"Arizona","Unclassified",4437,1972,88692371,865,44980
2008,"Arkansas","Natural resources and mining",2459,21382,891648935,802,41700
2008,"Arkansas","Construction",7895,56358,2190089282,747,38860
2008,"Arkansas","Manufacturing",3581,182476,6810427979,718,37322
2008,"Arkansas","Trade, transportation, and utilities",21098,243762,8094630655,639,33207
2008,"Arkansas","Information",1123,18653,935066897,964,50129
2008,"Arkansas","Financial activities",8434,50693,2204600897,836,43489
2008,"Arkansas","Professional and business services",11854,117444,5068411890,830,43156
2008,"Arkansas","Education and health services",13280,154780,5343358228,664,34522
2008,"Arkansas","Leisure and hospitality",6242,100863,1283390239,245,12724
2008,"Arkansas","Other services",5432,25228,654303486,499,25935
2008,"Arkansas","Unclassified",0,0,0,0,0
2008,"California","Natural resources and mining",18410,418287,12514804556,575,29919
2008,"California","Construction",76105,782466,42583469169,1047,54422
2008,"California","Manufacturing",43710,1414056,93161203811,1267,65882
2008,"California","Trade, transportation, and utilities",181591,2829721,119192279139,810,42122
2008,"California","Information",19152,467864,43456203009,1786,92882
2008,"California","Financial activities",92138,846842,65982896657,1498,77916
2008,"California","Professional and business services",163937,2229692,143339134279,1236,64287
2008,"California","Education and health services",98237,1680571,81460261234,932,48472
2008,"California","Leisure and hospitality",85781,1561032,37069469901,457,23747
2008,"California","Other services",455019,738468,18860239927,491,25540
2008,"California","Unclassified",59396,70293,3526132335,965,50163
2008,"Colorado","Natural resources and mining",2893,42434,3143777654,1425,74087
2008,"Colorado","Construction",21835,161815,7724389652,918,47736
2008,"Colorado","Manufacturing",5848,144169,8407816400,1122,58319
2008,"Colorado","Trade, transportation, and utilities",35734,424687,16811738271,761,39586
2008,"Colorado","Information",3345,76935,5900118323,1475,76690
2008,"Colorado","Financial activities",21636,151809,9348459805,1184,61580
2008,"Colorado","Professional and business services",40683,351533,21415200708,1172,60919
2008,"Colorado","Education and health services",15288,247581,10464002530,813,42265
2008,"Colorado","Leisure and hospitality",14707,272904,5310555453,374,19459
2008,"Colorado","Other services",12802,68505,2228136177,625,32525
2008,"Colorado","Unclassified",639,781,41530205,1022,53153
2008,"Connecticut","Natural resources and mining",417,5576,184506530,636,33092
2008,"Connecticut","Construction",10992,65341,3785680844,1114,57937
2008,"Connecticut","Manufacturing",5156,187186,13210540174,1357,70574
2008,"Connecticut","Trade, transportation, and utilities",25403,306091,13879220066,872,45343
2008,"Connecticut","Information",1828,37668,2614097800,1335,69399
2008,"Connecticut","Financial activities",11107,143467,18551863900,2487,129311
2008,"Connecticut","Professional and business services",20422,206864,15071107318,1401,72855
2008,"Connecticut","Education and health services",11074,289393,13574303372,902,46906
2008,"Connecticut","Leisure and hospitality",9190,137566,2737689828,383,19901
2008,"Connecticut","Other services",13662,58155,1743494852,577,29980
2008,"Connecticut","Unclassified",128,81,4752238,1125,58489
2008,"Delaware","Natural resources and mining",154,1359,45034568,637,33138
2008,"Delaware","Construction",3657,25344,1233646043,936,48675
2008,"Delaware","Manufacturing",663,31649,1791086562,1088,56592
2008,"Delaware","Trade, transportation, and utilities",6902,79788,2941254042,709,36864
2008,"Delaware","Information",360,7058,388640327,1059,55062
2008,"Delaware","Financial activities",2727,45468,3256703339,1377,71626
2008,"Delaware","Professional and business services",8358,59295,3755365728,1218,63333
2008,"Delaware","Education and health services",2298,58462,2655587637,874,45424
2008,"Delaware","Leisure and hospitality",2317,41174,765365175,357,18589
2008,"Delaware","Other services",2175,13729,373569462,523,27211
2008,"District of Columbia","Construction",1020,12945,722265965,1073,55796
2008,"District of Columbia","Manufacturing",192,1609,124420501,1487,77328
2008,"District of Columbia","Trade, transportation, and utilities",3353,27933,1353688234,932,48463
2008,"District of Columbia","Information",929,20655,2149763191,2001,104078
2008,"District of Columbia","Financial activities",2159,26089,2769833890,2042,106170
2008,"District of Columbia","Professional and business services",9721,148141,13847165117,1798,93473
2008,"District of Columbia","Education and health services",2518,91646,4888530660,1026,53342
2008,"District of Columbia","Leisure and hospitality",2414,57646,1820002226,607,31572
2008,"District of Columbia","Other services",8910,61812,4285328159,1333,69329
2008,"District of Columbia","Unclassified",2360,4255,303517491,1372,71331
2008,"Florida","Natural resources and mining",5341,94666,2261121241,459,23885
2008,"Florida","Construction",79139,511910,21508455500,808,42016
2008,"Florida","Manufacturing",17927,370780,18031263235,935,48631
2008,"Florida","Trade, transportation, and utilities",136194,1574186,57022816425,697,36224
2008,"Florida","Information",9975,156566,9108593239,1119,58177
2008,"Florida","Financial activities",72361,520923,29031707603,1072,55731
2008,"Florida","Professional and business services",132077,1143473,53746821187,904,47003
2008,"Florida","Education and health services",57620,1014377,42835749889,812,42229
2008,"Florida","Leisure and hospitality",48140,943346,19990305181,408,21191
2008,"Florida","Other services",50076,251608,7186298542,549,28561
2008,"Florida","Unclassified",3843,4369,158502643,698,36281
2008,"Georgia","Natural resources and mining",2586,30633,974256447,612,31804
2008,"Georgia","Construction",26328,204527,9128585730,858,44633
2008,"Georgia","Manufacturing",9894,408386,18991048864,894,46503
2008,"Georgia","Trade, transportation, and utilities",64830,865231,34873978513,775,40306
2008,"Georgia","Information",4411,109166,7966073701,1403,72972
2008,"Georgia","Financial activities",27852,220658,13870024752,1209,62857
2008,"Georgia","Professional and business services",50396,559036,28970463878,997,51822
2008,"Georgia","Education and health services",22950,439385,18631124785,815,42403
2008,"Georgia","Leisure and hospitality",21030,393588,6777406414,331,17220
2008,"Georgia","Other services",19512,98150,2833035430,555,28864
2008,"Georgia","Unclassified",16108,14903,756595995,976,50769
2008,"Hawaii","Natural resources and mining",462,7053,232200979,633,32923
2008,"Hawaii","Construction",3579,37500,2328415616,1194,62091
2008,"Hawaii","Manufacturing",1058,14875,577501953,747,38824
2008,"Hawaii","Trade, transportation, and utilities",7863,118136,4101273854,668,34717
2008,"Hawaii","Information",686,10050,552328955,1057,54959
2008,"Hawaii","Financial activities",3730,29384,1459536272,955,49671
2008,"Hawaii","Professional and business services",6757,75424,3341741680,852,44306
2008,"Hawaii","Education and health services",4112,72990,3059364465,806,41915
2008,"Hawaii","Leisure and hospitality",4055,106973,2758771804,496,25789
2008,"Hawaii","Other services",3730,25261,734197495,559,29065
2008,"Hawaii","Unclassified",769,579,25433644,844,43902
2008,"Idaho","Natural resources and mining",2245,24877,770215573,595,30961
2008,"Idaho","Construction",9481,45249,1699744484,722,37564
2008,"Idaho","Manufacturing",2380,62935,2943694065,899,46773
2008,"Idaho","Trade, transportation, and utilities",11865,130174,3977234736,588,30553
2008,"Idaho","Information",926,11664,453568104,748,38886
